symbol
BANDHANBNK
AUBANK
MOTHERSUMI
TATACONSUM
DABUR
IBULHSGFIN
ATUL
BERGEPAINT
POLYCAB
SRF
ASHOKLEY
GODREJCP
CIPLA
SHREECEM
PEL
NAVINFLUOR
VOLTAS
JKCEMENT
AMBUJACEM
ZYDUSLIFE
MARUTI
INDIACEM
UPL
BALKRISIND
BRITANNIA
ABBOTINDIA
TORNTPHARM
MARICO
COROMANDEL
PIDILITIND
PFIZER
ABB
NESTLEIND
TVSMOTOR
BHARATFORG
ABCAPITAL
TITAN
ASIANPAINT
CHOLAFIN
CUMMINSIND
IRCTC
APLLTD
ESCORTS
DALBHARAT
ACC
BHARTIARTL
TATAMOTORS
SBICARD
SBILIFE
BAJAJFINSV
JUBLFOOD
RAMCOCEM
SBIN
HONAUT
SUNPHARMA
GUJGASLTD
LALPATHLAB
ICICIBANK
LT
COLPAL
BAJFINANCE
APOLLOTYRE
GLENMARK
DIVISLAB
BIOCON
ULTRACEMCO
ITC
BATAINDIA
EICHERMOT
METROPOLIS
INDIGO
TRENT
MRF
HAL
GRANULES
EXIDEIND
ALKEM
SYNGENE
WHIRLPOOL
ASTRAL
IEX
DEEPAKNTR
PFC
GRASIM
HAVELLS
NTPC
MANAPPURAM
CUB
AMARAJABAT
BOSCHLTD
UBL
MFSL
DLF
HDFCAMC
LUPIN
ABFRL
ICICIPRULI
HINDUNILVR
HEROMOTOCO
TCS
HDFC
CONCOR
CANBK
BANKBARODA
INDUSINDBK
HDFCBANK
DIXON
AARTIIND
ADANIPORTS
MUTHOOTFIN
PIIND
IOC
RECLTD
PETRONET
TATACHEM
GODREJPROP
TORNTPOWER
INDHOTEL
PAGEIND
INDIAMART
DRREDDY
HDFCLIFE
IPCALAB
APOLLOHOSP
BEL
FSL
LICHSGFIN
WIPRO
FEDERALBNK
AUROPHARMA
OBEROIRLTY
TATACOMM
POWERGRID
NAUKRI
OFSS
HCLTECH
IDEA
TATAPOWER
LAURUSLABS
HINDPETRO
BHEL
AXISBANK
SIEMENS
ADANIENT
INDUSTOWER
ZEEL
RELIANCE
CANFINHOME
PNB
GAIL
INTELLECT
GSPL
PVR
SRTRANSFIN
SUNTV
BPCL
INFY
CROMPTON
IDFCFIRSTB
STAR
RAIN
RBLBANK
TECHM
MCX
KOTAKBANK
BSOFT
GMRINFRA
MPHASIS
CHAMBLFERT
ICICIGI
PERSISTENT
NBCC
JSWSTEEL
LTI
DELTACORP
NATIONALUM
IDFC
IGL
COALINDIA
SAIL
LTTS
ONGC
GNFC
MGL
VEDL
HINDCOPPER
JINDALSTEL
HINDALCO
TATASTEEL
COFORGE
NMDC
MINDTREE
BALRAMCHIN
