symbol
ABBOTINDIA
ABCAPITAL
ABFRL
ACC
ADANIENT
ADANIPORTS
ALKEM
AMARAJABAT
AMBUJACEM
APLLTD
APOLLOHOSP
APOLLOTYRE
ASHOKLEY
ASIANPAINT
ASTRAL
ATUL
AUBANK
AUROPHARMA
AXISBANK
BAJAJ-AUTO
BAJAJFINSV
BAJFINANCE
BALKRISIND
BALRAMCHIN
BANDHANBNK
BANKBARODA
BATAINDIA
BEL
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BIOCON
BOSCHLTD
BPCL
BRITANNIA
BSOFT
CANBK
CANFINHOME
CHAMBLFERT
CHOLAFIN
CIPLA
COALINDIA
COFORGE
COLPAL
CONCOR
COROMANDEL
CROMPTON
CUB
CUMMINSIND
DABUR
DALBHARAT
DEEPAKNTR
DELTACORP
DIVISLAB
DIXON
DLF
DRREDDY
EICHERMOT
ESCORTS
EXIDEIND
FEDERALBNK
FSL
GAIL
GLENMARK
GMRINFRA
GNFC
GODREJCP
GODREJPROP
GRANULES
GRASIM
GSPL
GUJGASLTD
HAL
HAVELLS
HCLTECH
HDFC
HDFCAMC
HDFCBANK
HDFCLIFE
HEROMOTOCO
HINDALCO
HINDCOPPER
HINDPETRO
HINDUNILVR
HONAUT
IBULHSGFIN
ICICIBANK
ICICIGI
ICICIPRULI
IDEA
IDFC
IDFCFIRSTB
IEX
IGL
INDHOTEL
INDIACEM
INDIAMART
INDIGO
INDUSINDBK
INDUSTOWER
INFY
INTELLECT
IOC
IPCALAB
IRCTC
ITC
JINDALSTEL
JKCEMENT
JSWSTEEL
JUBLFOOD
KOTAKBANK
L&TFH
LALPATHLAB
LAURUSLABS
LICHSGFIN
LT
LTI
LTTS
LUPIN
M&M
M&MFIN
MANAPPURAM
MARICO
MARUTI
MCDOWELL-N
MCX
METROPOLIS
MFSL
MGL
MINDTREE
MOTHERSUMI
MPHASIS
MRF
MUTHOOTFIN
NAM-INDIA
NATIONALUM
NAUKRI
NAVINFLUOR
NBCC
NESTLEIND
NMDC
NTPC
OBEROIRLTY
OFSS
ONGC
PAGEIND
PEL
PERSISTENT
PETRONET
PFC
PFIZER
PIDILITIND
PIIND
PNB
POLYCAB
POWERGRID
PVR
RAIN
RAMCOCEM
RBLBANK
RECLTD
RELIANCE
SAIL
SBICARD
SBILIFE
SBIN
SHREECEM
SIEMENS
SRF
SRTRANSFIN
STAR
SUNPHARMA
SUNTV
SYNGENE
TATACHEM
TATACOMM
TATACONSUM
TATAMOTORS
TATAPOWER
TATASTEEL
TCS
TECHM
TITAN
TORNTPHARM
TORNTPOWER
TRENT
TVSMOTOR
UBL
ULTRACEMCO
UPL
VEDL
VOLTAS
WHIRLPOOL
WIPRO
ZEEL
ZYDUSLIFE
