stock_tckr
RELIANCE
TCS
HINDUNILVR
INFY
HDFC
BHARTIARTL
ITC
ASIANPAINT
NESTLEIND
HCLTECH
MARUTI
LT
TITAN
BRITANNIA
BAJAJ-AUTO
EICHERMOT
DRREDDY
DMART
PIDILITIND
HDFCBANK
KOTAKBANK
ICICIBANK
